gx     gy    gz     ax    ay    az
64867  182  64576  11788  63645  59392
64880  171  64579  11259  64236  58684
64868  156  64578  10966  64141  57847
64863  177  64586  11934  63423  56441
64872  177  64578  12982  63090  54761
64876  185  64590  13666  63368  53393
64871  176  64577  13033  63805  53589
64892  174  64583  12324  63833  52780
64875  160  64578  11999  63913  52626
64883  187  64590  11506  63724  52636
64878  174  64580  10129  63903  52280
64874  176  64588  9228  64127  52437
64878  184  64580  9005  64104  52115
64877  168  64574  8807  63813  51942
64881  172  64585  8608  63941  52121
64867  175  64586  8576  64256  51290
64868  171  64582  8749  64377  50356
64881  171  64582  8851  64229  49640
64852  166  64591  9038  63954  49088
64883  167  64589  9672  63341  48584
64877  166  64581  9895  63538  48160
64870  180  64586  9507  63448  48285
64869  177  64580  9257  63454  48616
64868  168  64591  9147  63118  49073
64882  171  64579  9057  62878  49793
64884  171  64586  9616  63146  50363
64881  183  64578  10012  62869  51018
64870  176  64585  10499  62653  51275
64873  178  64582  10398  62544  52038
64873  174  64573  10195  62699  53152
64878  176  64578  10272  62792  54206
64868  178  64582  10403  63178  54678
64875  170  64589  10276  63420  55794
64881  179  64582  10414  63459  56818
64871  175  64589  10986  63300  57593
64882  162  64577  11685  63226  58460
64882  182  64584  12232  62852  59709
64880  170  64575  12373  62896  61416
64881  179  64576  12504  62637  62524
64874  176  64574  12575  62672  63448
64875  183  64578  12873  62806  64572
64865  181  64583  12414  63360  1215
64877  174  64578  11883  63848  1549
64871  179  64590  11653  63925  1806
64888  162  64581  12344  62609  2477
64871  166  64589  12769  62103  3538
64874  180  64579  13772  62610  4042
64883  180  64576  13666  63589  4374
64878  181  64582  13404  62915  5401
64878  170  64587  12269  62886  5541
64877  185  64584  10729  63523  5891
64872  175  64585  10815  64106  7363
64868  175  64588  11013  63482  7957
64885  155  64579  10561  63490  7716
64878  177  64576  9977  64235  8036
64881  180  64584  9573  64192  8608
64859  164  64575  10402  63006  10473
64877  169  64590  11125  63079  10974
64870  168  64578  9952  63744  10082
64877  172  64588  8824  64316  10352
64892  159  64588  9450  63768  12151
64865  173  64578  10566  63421  13430
64865  170  64579  9535  64136  11928
64877  162  64591  7407  64366  11690
64871  183  64598  5512  65105  12389
64857  167  64585  7308  63452  14921
64866  168  64579  7559  63422  12529
64871  158  64586  6036  63990  11505
64877  168  64577  4278  64630  13676
64873  161  64602  4959  63911  14963
64866  164  64588  7892  62620  14963
64872  174  64582  6608  63176  17981
64870  174  64578  6368  62934  27028
64878  167  64586  6950  61769  27737
64872  176  64581  5336  61581  19312
64867  167  64580  1879  63123  14874
64885  169  64578  546  64502  14889
64855  167  64591  305  65287  14116
64876  185  64579  527  147  14163
64877  167  64583  1767  65098  15596
64865  166  64585  1826  63254  18511
64861  180  64584  64679  63568  19090
64857  196  64581  61985  64616  17688
64865  181  64583  61314  63802  17270
64878  172  64583  61271  64212  16009
64897  172  64589  61875  64766  15860
64882  164  64576  63550  498  15388
64881  164  64587  63505  720  15922
64882  172  64585  62677  467  15493
64881  172  64595  62178  392  14783
64882  173  64585  61507  886  14369
64870  171  64565  60260  1279  15540
64874  166  64579  58964  1259  17935
64874  154  64573  58078  1091  23421
64896  183  64580  58540  197  26530
64875  159  64584  62913  64402  24967
64884  167  64581  1831  63614  17848
64877  174  64582  7801  62462  11585
64875  164  64590  11542  65052  10904
64862  174  64590  11627  453  16186
64868  177  64574  7738  459  18151
64869  162  64596  2684  63567  20315
64884  161  64583  1374  61952  16523
64875  177  64571  3750  63207  16683
64880  170  64577  7802  65277  14720
64882  178  64581  9630  65467  12009
64883  169  64580  11308  63647  10286
64869  176  64587  10025  63316  10997
64883  179  64586  8344  63315  11413
64887  175  64580  6870  62992  12498
