gx     gy    gz     ax    ay    az
64866  157  64565  5678  18135  56832
64867  164  64573  7781  12171  59169
64869  166  64578  7062  8641  60787
64878  172  64580  5531  6480  60501
64865  156  64576  6243  10845  60813
64859  178  64579  6783  16523  61625
64858  168  64604  6325  19929  61526
64874  169  64586  3201  26015  59599
64967  130  64605  63503  32725  57362
64900  181  64603  64440  32760  52454
64870  152  64581  58997  32760  48725
64862  174  64579  56480  32760  47307
64880  173  64585  58413  32760  50160
64880  170  64566  61301  31291  52414
64889  178  64572  723  26769  54353
64886  179  64578  65279  18515  57131
64883  166  64583  62186  10328  58346
64886  183  64588  61975  5486  60273
64866  178  64576  62859  5970  62803
64891  190  64579  54182  1888  56638
64888  151  64594  62419  13608  268
64867  170  64595  56617  15415  63853
64882  171  64583  51523  14668  906
64879  175  64585  48940  14051  63310
64873  182  64585  47804  19464  57434
64877  164  64574  48575  19047  61105
64882  173  64592  51061  15650  60091
64871  174  64585  49672  18418  60078
64872  156  64589  45011  20872  62056
64879  175  64578  43472  18151  63411
64874  205  64582  49915  14194  63019
64870  167  64581  51721  11326  64317
64868  180  64578  55646  7765  62544
64881  178  64588  56558  5575  60187
64893  168  64576  58899  5068  60585
64881  161  64572  62288  6242  62731
64877  171  64581  63746  8069  63417
64882  174  64578  63335  9003  61939
64874  170  64570  62215  11109  60387
64857  160  64587  62579  15649  59077
65009  144  64569  64417  23008  60704
64893  182  64553  62949  32760  62817
64826  207  64545  61440  32760  61980
64882  158  64583  62846  32760  56713
64866  187  64592  64308  32760  54165
64875  177  64572  65144  32760  54474
64864  161  64581  64884  32760  52064
64860  176  64595  1960  31632  58784
64862  165  64581  5209  32168  63057
64888  174  64580  6597  24977  60232
64871  176  64580  5325  16328  64409
64880  156  64586  1404  7231  64708
64884  165  64577  1128  3169  60657
64865  178  64585  576  7111  59765
64879  185  64577  62126  11139  64634
63839  721  64720  55811  6585  64588
64929  233  64652  63121  16240  4577
64880  190  64610  60135  21369  61878
64890  164  64589  50592  32103  61110
64892  167  64570  41725  28765  63151
64890  175  64574  47360  21514  60766
64886  167  64573  55280  25915  62043
64883  174  64579  56300  26199  65253
64901  167  64581  54205  22096  61998
64875  165  64574  54481  17516  60974
64902  173  64566  58135  13722  64847
64885  174  64576  57406  9258  11
64854  159  64573  58463  4445  65283
64883  174  64574  59704  65141  940
64879  179  64576  60689  63139  122
64871  176  64578  60313  62928  65231
64863  157  64567  57782  111  64967
64882  172  64586  55730  3772  63667
64893  168  64580  55921  9337  61493
64883  178  64582  55882  16064  59110
64868  179  64582  56912  22022  62838
64890  165  64591  59863  28891  61861
