gx     gy    gz     ax    ay    az
64876  169  64586  55824  24840  62018
64882  164  64587  55004  23535  62004
64895  173  64578  54821  21572  59961
64874  178  64582  54969  19698  58910
64867  165  64589  54364  17661  60699
64884  163  64582  55017  15486  61668
64886  166  64584  55707  13945  62238
64883  171  64585  55711  11922  63148
64873  170  64593  55323  9559  65459
64863  162  64584  54779  7309  556
64862  161  64577  54377  7006  64329
64868  160  64577  54054  6730  63228
64887  174  64585  53685  6831  63254
64879  167  64573  53659  7824  62841
64859  172  64599  54443  9833  61602
64878  171  64584  55987  13197  60847
64881  159  64571  56692  15546  61234
64863  174  64586  56299  18818  60506
64874  170  64592  56486  21938  58434
64879  175  64581  56839  23643  57133
64855  174  64573  57822  24372  55531
64898  170  64584  59967  23038  55128
64874  177  64586  61907  21679  55950
64876  173  64575  62692  21402  56195
64880  182  64577  62482  21440  55611
64871  171  64581  62109  21919  56416
64884  171  64587  60891  22289  56843
64886  180  64585  60478  21964  56634
64872  176  64579  60914  20304  56089
64873  171  64580  62663  18032  56056
64870  172  64583  63842  15588  57059
64860  169  64586  64169  14042  58575
64866  163  64579  64180  13126  59931
64877  184  64600  64245  12961  60787
64871  172  64582  64366  13320  61543
64872  159  64578  64226  14102  62503
64876  172  64581  64650  14567  62351
64862  166  64585  65222  14479  61787
64875  172  64578  273  14366  62013
64864  166  64578  1175  14582  62510
64866  180  64590  2208  14863  63346
64877  177  64582  2385  15366  63566
64856  169  64583  1546  16358  63321
64868  163  64574  85  16800  62854
64881  166  64579  64156  17579  62154
64884  154  64580  62703  17967  61395
64866  169  64597  62523  17494  61015
64880  176  64582  62338  16933  61020
64877  161  64586  61881  17188  60804
64879  174  64592  60287  21028  58860
64890  164  64586  57396  26243  56396
64878  172  64576  55566  28110  55789
64872  175  64590  54286  29105  55433
64881  168  64580  52744  30777  54554
64876  170  64582  51922  28782  54758
64885  171  64580  50587  25245  56771
64880  176  64593  50203  21054  60593
64875  174  64577  51712  17113  61882
64883  163  64574  53955  14563  61329
64872  162  64585  55035  13189  61446
64878  173  64579  55156  12186  61649
64884  162  64586  55320  9573  62824
64874  178  64584  54784  6671  64523
64881  175  64578  55041  5813  133
64873  171  64590  56560  6164  65422
64880  180  64594  58077  7544  64851
64880  166  64589  58777  9636  63711
64880  164  64585  58736  11105  61869
64874  168  64585  58491  11745  61045
64890  183  64589  58516  11482  59491
64879  169  64585  59507  12271  58250
64888  173  64597  59569  14615  57588
64877  178  64584  58679  16484  57704
64874  165  64579  58225  18074  56249
64868  165  64579  58281  20117  54266
64871  165  64573  58516  23626  52464
64892  169  64572  59230  25369  52507
64870  175  64580  61359  27023  55168
64870  171  64582  64222  29092  59710
64882  170  64593  788  29625  64562
64878  174  64576  2483  28238  536
64882  157  64583  3052  24557  64242
64879  174  64580  3327  20091  62606
64864  174  64573  3466  16953  62131
64883  171  64580  3834  15012  61898
64869  158  64575  5339  14664  62950
64869  175  64573  5718  13833  64848
64888  176  64588  4763  14179  65031
64869  167  64576  2893  15023  64293
64862  171  64591  1223  14703  62722
64865  165  64589  65523  14370  60732
64874  164  64579  64620  14222  59458
64872  178  64591  63626  14578  59214
64879  177  64591  62000  17123  58286
64886  181  64588  60240  22154  56095
64876  185  64583  57021  24798  54888
64880  176  64593  53484  25948  53781
64871  173  64580  51434  28052  52176
64885  174  64575  50770  27422  52786
64873  188  64571  51753  26333  54219
64882  182  64587  53298  26074  55813
64884  178  64580  54456  23309  57023
64868  177  64581  55242  18679  56872
64871  173  64592  56794  13177  58209
64889  179  64583  57321  8512  60403
64886  177  64579  57129  5215  64596
64870  173  64585  55856  3510  1989
64873  153  64579  54993  4052  1838
64879  178  64584  55523  5003  64902
64874  162  64589  55768  6193  63779
64887  163  64586  55716  7978  63111
64877  167  64582  56550  9053  61796
64872  167  64585  57662  10228  60415
64873  156  64583  57678  11725  59774
64865  171  64583  57792  12854  60629
64862  174  64590  58609  14620  60608
64873  174  64582  59672  17550  58096
64875  166  64580  58428  20996  55213
64874  167  64581  55965  22948  54157
64886  156  64579  55562  23724  54092
64877  164  64590  57114  26772  55453
64874  166  64576  59147  29113  58084
64888  171  64596  61119  28808  59501
64868  184  64575  63373  26946  60658
64879  173  64579  65286  23405  61643
64883  174  64580  2064  18701  62996
64867  164  64581  3858  15162  63254
64877  166  64594  3900  14305  62740
64882  161  64585  3073  14508  62223
64883  171  64583  3054  15007  61200
64878  157  64580  2740  15463  60572
64881  173  64582  3598  15237  60734
64878  173  64587  3849  15497  61027
64878  168  64589  3423  15860  60862
64880  174  64581  2685  15640  60642
64877  171  64578  1020  17102  58726
64878  174  64579  63290  20218  56674
64871  174  64576  60986  22647  55014
64863  176  64586  60085  25244  54992
64875  172  64586  57893  29948  55300
64886  169  64577  54434  32160  54766
64880  173  64578  52612  30356  50672
64865  166  64582  53504  28024  49887
64878  172  64588  54289  26801  50512
64874  167  64593  55099  23843  52518
64867  169  64585  55686  20924  55392
64869  169  64589  56344  17532  57661
64879  168  64584  57150  13781  58945
64869  178  64580  58160  10582  60264
64883  176  64583  57596  8987  62069
64875  165  64594  56882  6572  64430
64871  157  64582  56230  5571  917
64883  173  64581  56291  5615  1142
64882  168  64592  57142  6904  243
64879  172  64582  57830  8356  63858
64869  166  64578  58555  9451  61968
64880  172  64584  58711  9512  61747
64885  176  64576  59115  9960  62478
64879  171  64584  59781  11983  61588
64875  173  64585  59562  14305  61233
64860  163  64589  57601  15711  61943
64880  179  64581  56834  17966  59024
64877  173  64577  56692  23300  55728
64875  171  64581  57478  25769  55581
64883  156  64579  58959  26354  55805
64889  173  64571  60629  26326  55215
64877  182  64585  62507  26247  55863
64873  182  64583  63491  25834  57707
64865  167  64585  63847  24665  60555
64875  177  64580  64567  21576  62504
64868  169  64584  65231  18934  63177
64873  181  64581  1308  16910  61743
64879  168  64587  3806  15770  60418
64874  169  64576  4850  14392  60171
64879  176  64582  4623  12651  60003
64876  181  64579  4403  11600  58811
64886  162  64580  4241  11849  57505
64893  163  64581  4102  13367  58124
64878  164  64577  3923  14370  59550
64873  176  64576  3714  14518  60796
64878  178  64576  2513  13966  61372
64871  164  64575  799  13991  60720
64887  171  64576  64426  15572  58161
64876  175  64561  60841  19779  55079
64878  164  64586  57991  23381  53385
64880  166  64579  55102  26163  53364
64878  175  64578  52472  30345  51391
64877  169  64581  51044  29832  51243
64878  166  64585  51829  27954  53233
64878  169  64566  53932  25127  54295
64880  179  64581  55756  21817  56056
64863  168  64586  57207  18698  56024
64859  167  64583  57594  16178  57247
64876  173  64579  58204  13650  58983
64888  160  64593  59573  11913  60751
64878  188  64579  60924  11381  61429
64879  167  64579  61312  11592  61844
64875  166  64585  59998  10941  62719
64875  168  64578  59176  10336  62613
64880  180  64591  58399  10248  62442
64878  178  64591  57735  10582  61300
64879  166  64594  57425  10114  61556
64869  171  64589  57676  9776  62845
64889  173  64582  57634  11603  63889
64874  176  64573  57008  13941  63513
64887  166  64581  56218  14724  63977
64870  171  64580  55592  16561  62255
64881  174  64583  55407  20245  59979
64880  180  64566  56413  19541  57871
64882  172  64577  58313  19968  56655
64880  170  64578  59643  22025  56326
64888  166  64577  59876  22374  57051
64882  162  64594  60456  22117  59085
64869  179  64583  61526  20633  60086
64894  175  64578  62383  19111  60337
64877  171  64574  64519  18077  59709
64864  175  64585  481  16750  60780
64875  186  64584  761  15682  61987
64872  171  64572  952  14696  62024
64881  167  64573  339  14106  60633
64877  170  64587  65324  13968  58968
64889  169  64582  65126  14399  58280
64885  183  64587  65415  14982  59308
64868  173  64573  169  15034  61066
64876  168  64587  515  15871  61235
64877  165  64583  65423  17940  59067
64873  176  64578  62798  20504  56894
64869  166  64581  60066  21616  54632
64880  178  64581  58342  21572  54194
64877  164  64587  57220  23761  54993
64869  166  64583  55226  26901  55235
