gx     gy    gz     ax    ay    az
64878  167  64570  59922  22270  58510
64885  163  64567  59316  21218  57983
64878  160  64581  58581  20791  58612
64885  164  64570  58664  19913  58242
64861  159  64576  59556  19163  57432
64878  162  64579  60010  17940  57549
64882  172  64566  59870  16558  57804
64873  163  64572  59549  15108  58564
64872  168  64577  58971  14192  59477
64879  159  64574  58612  13409  60656
64875  169  64574  58738  12646  61145
64874  169  64569  59015  11969  60923
64882  168  64568  59278  11209  60827
64872  170  64569  59266  10517  61229
64880  179  64570  59046  10333  61639
64882  172  64582  58383  10304  62472
64879  182  64573  57973  11841  61901
64889  183  64579  56878  13400  60432
64883  173  64564  56345  14049  60438
64870  180  64578  56294  14041  60690
64887  183  64569  56244  15024  60513
64885  164  64582  55659  17845  60011
64860  182  64579  54969  18780  60461
64876  173  64573  55325  17661  61111
64880  170  64575  56462  16538  60032
64875  174  64581  57975  15741  58635
64874  172  64573  58874  16291  58532
64874  177  64574  59007  17178  58821
64892  178  64578  59028  17848  58175
64884  170  64576  58944  18649  57580
64875  173  64572  58813  19594  57957
64876  164  64572  59529  20048  59269
64888  172  64576  60561  19609  60398
64869  183  64575  61893  18701  61269
64882  158  64574  62908  18237  61851
64873  176  64563  63391  17641  61937
64892  167  64574  63607  17508  61811
64874  171  64572  63868  17406  61570
64888  154  64575  63972  17303  62157
64886  166  64576  64234  17330  61910
64876  171  64569  64592  17157  61587
64877  180  64580  64803  16983  61359
64886  167  64579  64629  17159  61644
64870  168  64570  64418  17011  61820
64888  182  64563  64082  17692  61408
64868  157  64564  63732  18723  60116
64887  164  64575  63605  19514  58980
64883  163  64579  63396  20044  57846
64870  166  64575  63124  19767  57439
64867  177  64574  62387  20447  56887
64877  163  64573  60723  23256  54993
64867  176  64574  59753  24463  53947
64882  172  64569  59958  23898  54235
64877  170  64575  60605  21886  56348
64889  167  64570  60758  21376  58514
64881  174  64573  60858  21603  59922
64878  182  64573  60110  22316  59444
64878  181  64580  59334  21881  58413
64868  176  64576  58658  20742  56941
64883  172  64573  58149  19198  55744
64876  173  64580  57912  17524  55680
64877  188  64577  58215  16346  55606
64864  181  64572  58850  15111  56470
64879  182  64579  59066  14057  57572
64880  163  64579  59152  13270  58882
64897  164  64570  59076  12904  59898
64881  170  64575  59011  12573  60034
64890  175  64582  59021  12191  59868
64885  174  64582  59022  11683  60139
64887  164  64580  59062  11108  60838
64885  175  64580  58917  10422  60482
64882  166  64578  58728  9902  60314
64883  174  64565  58225  10014  59824
64869  164  64570  57811  10575  59875
64873  163  64573  56980  11880  59796
64876  172  64575  56033  13519  60228
64873  165  64576  55870  14773  59833
64881  176  64583  55745  15555  59136
64868  173  64573  54698  17596  57961
64878  171  64567  54289  19086  57073
64876  164  64579  54423  18540  57971
64876  168  64577  55614  15768  59845
64866  168  64567  57239  14983  59755
64863  168  64579  58166  16000  58810
64892  167  64575  58133  17531  58741
64878  174  64573  57880  18871  59041
64872  168  64576  57988  19052  59800
64874  174  64579  57987  19267  59864
64877  176  64589  58886  18196  60356
64872  171  64576  60432  17048  60041
64873  171  64575  61615  16212  59892
64875  171  64585  62188  15708  60195
64874  163  64579  62254  15553  60547
64876  168  64572  62525  15675  61209
64878  176  64566  62362  15984  61992
64868  176  64583  62150  16364  62588
64878  183  64589  62012  16638  62418
64886  169  64579  61988  16570  62137
64885  173  64577  61940  16381  61874
64869  162  64567  61976  16099  61412
64878  168  64572  61893  16346  61251
64894  173  64579  61634  16762  61196
64883  171  64582  61061  17757  60377
64874  165  64571  60858  18749  58464
64895  164  64583  61069  19195  57612
64865  161  64576  61274  19373  56840
64866  169  64588  60901  21233  55543
64891  171  64563  60334  23246  54199
64880  164  64572  59761  23776  53723
64882  162  64574  59968  22905  54301
64889  170  64577  61027  21108  55807
64876  175  64580  61670  20475  56748
64873  175  64571  61502  20751  57131
64879  177  64577  60204  21554  57187
64866  172  64573  59023  21310  57229
64875  173  64573  58291  20206  56724
64876  165  64577  57539  19226  56577
64874  169  64573  57100  18272  57174
64886  182  64576  57617  17486  57244
64885  182  64573  57971  16554  57330
64877  178  64581  58270  15570  57385
64896  176  64577  58488  14592  57627
64861  171  64569  58563  14060  58019
64861  172  64586  58566  13232  58789
64881  170  64580  58467  12518  59393
64880  171  64575  58372  11681  59814
64881  170  64586  58414  10764  60153
64875  172  64577  58645  10434  60057
64881  182  64570  58369  10522  60178
64880  169  64571  57874  10290  60762
64895  165  64581  56972  10954  60620
64881  175  64566  56229  12277  60426
64879  165  64578  55641  12693  60457
64890  165  64585  55460  13051  59964
64880  164  64574  55816  13685  59840
64877  178  64574  55413  15982  59532
64895  173  64569  54694  17547  60063
64879  160  64587  54875  17219  60215
64892  166  64583  55753  16593  59895
64881  156  64571  57410  15672  58990
64875  169  64570  58452  16246  57521
64870  166  64577  58612  17538  56623
64879  170  64566  58179  18216  56542
64871  164  64570  57924  18546  56772
64879  169  64576  58135  19197  57218
64873  154  64584  59012  18564  57988
64876  176  64581  60407  17675  58995
64877  170  64565  61227  17008  59808
64872  179  64576  62266  17201  60507
64876  166  64578  62248  16914  61638
64870  175  64576  62062  17237  62203
64875  169  64577  62144  17345  61832
64877  186  64570  62417  17301  60894
64877  167  64566  63098  16944  59828
64881  168  64573  63616  16949  59176
64878  170  64588  63347  17201  60397
64887  169  64569  63089  17880  62039
64868  165  64577  63392  18927  62454
64869  177  64575  63669  19676  62345
64879  178  64574  63035  20747  61659
64873  169  64565  62979  21574  60019
64896  174  64584  62697  21264  58869
64878  179  64575  62702  19960  58727
64870  184  64576  62003  20317  57152
64877  169  64570  60815  22103  55247
64886  173  64576  60165  21832  54630
64888  181  64578  60281  20467  54964
64879  165  64576  60989  18691  55681
64870  169  64570  61120  18736  56013
64882  173  64572  60544  20301  55918
64875  178  64573  59849  21228  56810
64876  173  64576  59392  20894  57379
64878  168  64574  58996  20192  56383
64882  171  64580  58296  19175  55185
64880  166  64574  57814  18000  54706
64867  167  64564  57609  17137  54778
64884  161  64567  57938  16378  55643
64881  165  64577  58451  15469  56936
64883  169  64584  59013  14859  57721
64899  162  64585  59323  14427  58021
64879  174  64563  58965  14077  58404
64876  178  64567  58300  13388  59768
64878  171  64567  57966  12412  60990
64878  161  64570  58354  11714  60640
64886  167  64577  58684  11037  59806
64863  181  64584  58488  10849  59476
64881  174  64577  57511  10752  59626
64878  174  64574  56548  11119  60071
64882  174  64572  55507  12471  59756
64877  176  64577  54792  13730  59301
64874  185  64580  54698  13874  59539
64868  179  64573  54996  13846  59830
64884  169  64563  54054  16265  59312
64878  171  64569  53816  16594  59768
64890  177  64571  53799  16471  59584
64872  172  64585  54470  15470  59233
64880  182  64574  56234  14275  57689
64889  177  64573  57544  14867  55661
64879  173  64576  58034  15977  54890
64858  164  64570  57577  17220  55289
64886  165  64569  57246  18504  56924
64877  172  64581  57632  19492  58646
64886  165  64577  58707  19799  59326
64861  159  64575  60152  18716  59651
64885  176  64571  61015  17788  60109
64878  163  64578  61978  16982  59990
64883  164  64575  62424  16771  60100
64885  162  64577  62711  16742  60772
64866  170  64574  62341  16638  61139
64874  164  64579  62056  15901  60806
64874  168  64577  61897  15676  59092
64862  169  64580  62454  15051  58179
64887  171  64574  62771  15684  57718
64887  174  64576  62221  16849  60315
64879  168  64572  62803  18822  61444
64877  172  64575  63285  20990  60865
64876  175  64580  63107  21877  59896
64883  173  64567  62650  21567  58620
64873  168  64572  62557  20989  56723
64884  174  64577  61723  21235  55054
64878  168  64574  59705  23562  53735
64877  161  64580  58248  24175  53540
64875  172  64571  57910  22107  54144
64877  164  64580  58901  19455  55320
64882  170  64575  59825  18547  56048
64869  173  64568  59569  19638  55838
64879  174  64565  58328  20545  54938
64874  178  64577  56940  20229  54987
64892  170  64583  56069  18985  55765
64866  171  64578  56395  17660  55065
64874  176  64573  56936  16138  54526
64886  165  64576  56833  15456  55380
64870  176  64575  56810  15290  56832
64876  154  64581  57195  15009  57764
64880  169  64567  57694  14408  57777
64883  188  64572  58034  13374  57915
64869  175  64572  57607  13072  58327
64883  171  64570  57175  12131  59317
64883  176  64577  57205  11484  59383
64888  171  64581  57109  10704  59719
64884  157  64574  56893  10113  59432
64868  171  64570  56572  9711  59365
64866  167  64574  55973  9787  59880
64872  176  64565  55461  10447  60042
64894  160  64583  55102  11703  59520
64882  172  64577  55353  12805  59327
64876  163  64574  55307  13627  59148
64893  174  64571  54529  15624  58943
64877  157  64578  52614  17797  59193
64883  179  64578  51916  18463  59586
64888  160  64573  53413  16409  59588
64871  177  64577  56055  15074  59096
64876  168  64573  58353  15969  57827
64878  166  64578  58549  17812  57616
64881  170  64575  57997  18692  58219
64868  174  64575  57030  19292  58934
64870  179  64580  56679  19634  59159
64891  171  64575  57480  18936  58813
64873  171  64578  58782  17565  58002
64878  175  64574  61086  16908  58017
64879  175  64584  62126  16604  58740
64879  175  64576  62337  16613  60706
64886  178  64569  62129  16776  61328
64885  171  64573  61943  16619  61698
64877  173  64580  61997  16468  61270
64878  168  64576  62488  16211  60702
64887  162  64576  62558  16606  62141
64876  175  64569  62780  17101  62872
64880  170  64567  63259  16742  62348
64875  173  64578  63451  16582  61119
64883  165  64566  63025  17305  59288
64880  180  64574  62810  18246  57470
64882  165  64580  62323  19193  55974
64873  166  64571  62030  19517  55693
64870  170  64581  61712  19654  56389
64895  167  64572  60538  21809  56033
64880  161  64570  58618  24404  54945
64881  171  64579  57690  23735  55870
64880  182  64576  58026  21954  56891
64883  173  64579  58771  20476  57282
64876  159  64584  58747  20808  57526
64881  163  64580  58238  21564  57915
64877  171  64580  58253  21706  57780
64865  182  64572  58292  20990  57226
64867  171  64580  58079  20111  57278
64882  171  64576  58148  19183  57991
64870  178  64565  58331  18727  58247
64873  178  64574  58322  18002  58359
64880  173  64573  58595  17047  58338
64881  174  64566  58916  15853  58437
64873  166  64572  58791  15020  58814
64874  174  64578  58298  13973  59830
64874  186  64579  58120  13030  60498
64866  173  64566  58408  12320  60909
64865  173  64560  58783  11340  61094
64867  170  64570  58966  10715  61327
64868  175  64575  58165  10402  61438
64889  167  64582  57801  10268  61247
64866  175  64577  57135  10762  60784
64873  173  64570  56303  11680  60755
64884  177  64582  55457  13220  60367
64882  168  64578  55558  14270  59402
64871  152  64576  56067  14654  58719
64872  164  64570  55372  16574  58538
64879  179  64570  54593  17849  58897
64879  170  64582  54254  18188  59865
64876  182  64564  55092  17511  59863
64867  168  64574  57051  16185  59577
64880  162  64569  58375  16677  58566
64869  159  64593  58953  17969  58164
64881  165  64571  58816  18587  58718
64876  173  64568  58672  19161  59229
64878  165  64585  58612  19295  59709
64854  162  64572  58928  18303  59801
64878  163  64573  60229  17320  59363
64876  155  64569  62374  17069  59358
64864  169  64573  63041  17205  61128
64868  168  64575  62813  17116  62348
64889  168  64571  61885  17102  63565
64866  169  64580  61355  16993  63303
64887  174  64578  61616  16725  61335
64887  180  64577  62035  16872  59949
64875  184  64563  62463  17099  59876
64878  182  64571  62750  17540  60835
64881  178  64582  62575  17719  62015
64885  170  64579  62805  17885  62906
64875  175  64570  62617  18663  62469
64883  174  64581  62348  19338  60789
64884  176  64573  61465  20058  59501
64876  179  64573  61517  19843  58592
64879  176  64572  61415  20160  58213
64871  171  64567  60550  23031  55877
64878  157  64574  58967  25247  54738
64864  162  64585  58836  23523  55221
64870  165  64574  59822  21122  57240
64884  168  64573  61168  19909  59725
64875  163  64583  60457  20727  60240
64883  161  64566  59414  21952  58671
64881  160  64578  58413  22178  57921
64867  167  64562  57384  21542  57844
64886  171  64583  56963  20690  57976
64890  158  64576  56932  19775  58169
64863  173  64584  57745  19619  58291
64875  166  64577  58669  19431  59391
64877  164  64571  59409  19355  59938
64868  170  64575  59633  18594  60066
64868  180  64569  59109  17286  60085
64879  168  64568  58492  16200  59948
64875  181  64577  58201  14818  60268
64878  173  64576  57833  13109  61080
64864  158  64585  57811  11816  61681
64877  169  64564  57755  10701  61576
