ired      red
86631   76478
86746   76519
86764   76531
86730   76527
86707   76516
86728   76519
86784   76538
86880   76577
86980   76613
87073   76647
87154   76678
87255   76708
87364   76749
87431   76775
87194   76710
86554   76489
85882   76255
85473   76103
85351   76053
85425   76072
85608   76127
85807   76198
85987   76269
86180   76331
86387   76406
86563   76467
86658   76510
86694   76521
86683   76523
86677   76517
86697   76522
86761   76548
86872   76591
87004   76635
87131   76682
87273   76730
87407   76790
87543   76842
87649   76874
87612   76867
87127   76703
86375   76432
85752   76207
85443   76095
